               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030165,            0.010379,            0.025454,             0.86943,             0.86819,             0.92161,             0.70564,            0.010794,           0.0026927,           0.0066739,            0.070006,           0.0033327,           0.0033327
                   1,            0.022536,           0.0072864,            0.017731,             0.88143,             0.88374,             0.93979,             0.76668,           0.0094214,           0.0025552,           0.0057342,             0.03994,              0.0066,              0.0066
                   2,             0.02159,           0.0072107,            0.018048,             0.87177,             0.89253,             0.93924,             0.76384,            0.009324,           0.0025316,           0.0056483,           0.0098078,           0.0098014,           0.0098014
                   3,             0.02011,           0.0070528,            0.017409,             0.87784,             0.90251,             0.94803,             0.79057,           0.0087781,           0.0023991,           0.0052843,            0.009703,            0.009703,            0.009703
                   4,            0.018346,           0.0066565,            0.016038,              0.9002,             0.88751,               0.954,             0.80216,           0.0084124,           0.0023363,           0.0047909,            0.009703,            0.009703,            0.009703
                   5,            0.017751,           0.0064937,            0.015253,              0.8982,             0.89829,             0.95598,             0.80612,           0.0082457,           0.0023073,           0.0045257,            0.009604,            0.009604,            0.009604
                   6,            0.017449,           0.0064091,            0.015015,             0.88749,             0.90975,             0.95668,             0.81352,           0.0080647,           0.0022788,           0.0044749,            0.009505,            0.009505,            0.009505
                   7,            0.017074,           0.0062938,             0.01463,             0.89585,             0.90649,             0.96074,             0.81899,           0.0079319,           0.0022465,           0.0041152,            0.009406,            0.009406,            0.009406
                   8,            0.016751,           0.0062506,            0.014372,             0.91119,             0.89434,             0.96253,             0.82273,           0.0078052,           0.0022288,           0.0039569,            0.009307,            0.009307,            0.009307
                   9,            0.016448,           0.0061989,            0.014147,             0.91873,             0.89204,             0.96378,               0.826,           0.0077295,           0.0022137,           0.0038219,            0.009208,            0.009208,            0.009208
                  10,            0.016322,           0.0061106,            0.013802,             0.91387,             0.90127,             0.96467,             0.82836,           0.0076753,           0.0022033,           0.0037507,            0.009109,            0.009109,            0.009109
                  11,            0.016048,           0.0060811,            0.013521,             0.91014,             0.90642,             0.96479,             0.82995,           0.0076322,           0.0021934,           0.0037364,             0.00901,             0.00901,             0.00901
                  12,             0.01602,           0.0060517,            0.013669,             0.91285,             0.90463,             0.96484,             0.83085,           0.0076138,           0.0021848,           0.0037274,            0.008911,            0.008911,            0.008911
                  13,            0.015772,           0.0060151,            0.013172,             0.91523,             0.90434,             0.96531,             0.83265,            0.007579,           0.0021735,             0.00367,            0.008812,            0.008812,            0.008812
                  14,            0.015629,            0.005981,            0.013097,             0.91831,             0.90188,             0.96584,             0.83451,           0.0075531,           0.0021641,           0.0036199,            0.008713,            0.008713,            0.008713
                  15,            0.015592,           0.0059315,            0.013017,             0.91676,             0.90445,             0.96607,             0.83568,           0.0075243,           0.0021555,           0.0035764,            0.008614,            0.008614,            0.008614
                  16,            0.015607,           0.0059425,            0.013052,             0.91791,             0.90512,             0.96665,             0.83699,           0.0074994,           0.0021478,           0.0035168,            0.008515,            0.008515,            0.008515
                  17,            0.015341,           0.0058567,            0.012734,             0.91464,              0.9089,             0.96695,             0.83897,           0.0074718,           0.0021399,           0.0034783,            0.008416,            0.008416,            0.008416
                  18,            0.015289,           0.0058654,            0.012778,             0.91661,             0.90868,             0.96743,             0.84041,           0.0074422,           0.0021302,           0.0034481,            0.008317,            0.008317,            0.008317
                  19,            0.015331,           0.0058745,            0.012663,             0.91666,             0.90888,              0.9677,             0.84139,           0.0074162,           0.0021245,           0.0034187,            0.008218,            0.008218,            0.008218
                  20,            0.015157,           0.0058469,            0.012422,             0.92179,             0.90515,             0.96806,             0.84276,           0.0073816,            0.002118,            0.003391,            0.008119,            0.008119,            0.008119
                  21,            0.015095,           0.0057721,             0.01248,             0.91124,             0.91699,             0.96836,             0.84469,           0.0073498,           0.0021085,           0.0033501,             0.00802,             0.00802,             0.00802
                  22,            0.014813,           0.0057594,            0.012188,              0.9131,             0.91711,             0.96859,             0.84594,           0.0073112,           0.0020999,           0.0033279,            0.007921,            0.007921,            0.007921
                  23,            0.014875,            0.005754,            0.012161,             0.91699,             0.91514,              0.9688,             0.84806,           0.0072768,           0.0020904,           0.0033071,            0.007822,            0.007822,            0.007822
                  24,            0.014704,           0.0057286,            0.012294,              0.9174,             0.91564,             0.96904,             0.84992,           0.0072431,           0.0020835,           0.0032788,            0.007723,            0.007723,            0.007723
                  25,            0.014852,           0.0057137,            0.012023,             0.91731,             0.91777,             0.96926,             0.85102,           0.0072119,           0.0020763,           0.0032599,            0.007624,            0.007624,            0.007624
                  26,            0.014629,           0.0056871,            0.011934,             0.91792,             0.91867,             0.96947,             0.85257,           0.0071774,           0.0020682,           0.0032226,            0.007525,            0.007525,            0.007525
                  27,            0.014587,           0.0056438,            0.012008,              0.9183,              0.9202,             0.96998,             0.85431,           0.0071476,           0.0020587,           0.0031804,            0.007426,            0.007426,            0.007426
                  28,            0.014664,           0.0056709,            0.012034,             0.92064,             0.92135,             0.97018,             0.85506,            0.007117,           0.0020505,           0.0031472,            0.007327,            0.007327,            0.007327
                  29,            0.014457,           0.0056214,            0.011667,             0.92357,             0.91884,              0.9703,             0.85619,           0.0070916,           0.0020441,           0.0031199,            0.007228,            0.007228,            0.007228
                  30,            0.014623,           0.0056466,            0.011986,             0.92427,             0.91957,             0.97055,             0.85697,           0.0070604,           0.0020365,           0.0030892,            0.007129,            0.007129,            0.007129
                  31,            0.014334,           0.0056088,            0.011799,             0.92571,             0.91992,             0.97083,             0.85857,           0.0070345,            0.002027,            0.003057,             0.00703,             0.00703,             0.00703
                  32,            0.014366,           0.0056002,            0.011649,             0.92673,             0.92119,             0.97116,             0.86017,           0.0070028,           0.0020156,            0.003027,            0.006931,            0.006931,            0.006931
                  33,            0.014254,           0.0055851,            0.011626,             0.92823,             0.91889,             0.97137,              0.8612,           0.0069767,           0.0020045,           0.0030006,            0.006832,            0.006832,            0.006832
                  34,            0.014124,           0.0055482,             0.01128,             0.92733,             0.92109,             0.97166,             0.86197,           0.0069464,           0.0019958,           0.0029759,            0.006733,            0.006733,            0.006733
                  35,             0.01416,           0.0055323,            0.011634,             0.92545,             0.92313,             0.97206,             0.86313,           0.0069172,           0.0019857,           0.0029503,            0.006634,            0.006634,            0.006634
                  36,            0.013929,           0.0055049,            0.011198,              0.9264,             0.92385,             0.97243,             0.86455,           0.0068888,            0.001977,           0.0029154,            0.006535,            0.006535,            0.006535
                  37,            0.013956,           0.0054735,            0.011314,              0.9267,             0.92453,              0.9729,             0.86583,           0.0068558,           0.0019691,           0.0028856,            0.006436,            0.006436,            0.006436
                  38,            0.013953,           0.0054826,            0.011229,             0.92686,             0.92702,             0.97339,             0.86751,           0.0068305,           0.0019613,           0.0028543,            0.006337,            0.006337,            0.006337
                  39,            0.013916,           0.0054752,            0.011233,             0.92829,             0.92738,             0.97358,             0.86822,           0.0068022,           0.0019538,           0.0028209,            0.006238,            0.006238,            0.006238
                  40,            0.013747,            0.005449,            0.011063,             0.92932,             0.92846,             0.97375,             0.86922,           0.0067701,           0.0019433,           0.0028007,            0.006139,            0.006139,            0.006139
                  41,             0.01371,            0.005422,            0.011219,             0.93128,             0.92647,             0.97392,             0.87076,           0.0067394,            0.001935,           0.0027936,             0.00604,             0.00604,             0.00604
                  42,            0.013744,           0.0054226,            0.010981,             0.93064,             0.92639,             0.97416,             0.87198,           0.0067154,           0.0019277,           0.0027668,            0.005941,            0.005941,            0.005941
                  43,            0.013597,           0.0053925,            0.011058,              0.9302,             0.92901,             0.97438,             0.87236,           0.0066941,           0.0019198,           0.0027486,            0.005842,            0.005842,            0.005842
                  44,            0.013639,           0.0053759,            0.010889,             0.92881,              0.9298,              0.9747,              0.8734,           0.0066745,           0.0019146,           0.0027293,            0.005743,            0.005743,            0.005743
                  45,            0.013619,           0.0053907,            0.010898,              0.9265,             0.93541,             0.97485,             0.87383,           0.0066562,           0.0019087,           0.0026996,            0.005644,            0.005644,            0.005644
                  46,            0.013386,           0.0053312,            0.010794,             0.92428,             0.93876,             0.97527,             0.87491,            0.006629,           0.0019011,             0.00267,            0.005545,            0.005545,            0.005545
                  47,            0.013341,           0.0052995,            0.010559,             0.92555,             0.93781,             0.97564,             0.87626,           0.0065982,            0.001893,           0.0026481,            0.005446,            0.005446,            0.005446
                  48,             0.01338,           0.0053046,            0.010537,             0.92512,             0.93907,             0.97592,             0.87675,           0.0065738,           0.0018846,           0.0026302,            0.005347,            0.005347,            0.005347
                  49,            0.013308,           0.0052881,            0.010774,             0.92598,              0.9394,             0.97606,             0.87786,           0.0065538,           0.0018809,           0.0026208,            0.005248,            0.005248,            0.005248
                  50,            0.013208,           0.0052797,            0.010585,             0.93189,             0.93618,             0.97616,             0.87815,            0.006535,           0.0018755,            0.002609,            0.005149,            0.005149,            0.005149
                  51,            0.013224,            0.005273,             0.01053,             0.92954,             0.94169,              0.9764,             0.87887,           0.0065226,           0.0018681,           0.0025947,             0.00505,             0.00505,             0.00505
                  52,            0.013069,           0.0052329,            0.010392,             0.93049,             0.94265,             0.97689,             0.87982,           0.0064997,           0.0018611,           0.0025648,            0.004951,            0.004951,            0.004951
                  53,            0.012933,           0.0051902,            0.010376,             0.93157,              0.9434,             0.97738,             0.88091,           0.0064687,           0.0018538,           0.0025334,            0.004852,            0.004852,            0.004852
                  54,            0.012883,           0.0051839,            0.010294,             0.93234,              0.9444,             0.97781,             0.88233,           0.0064394,           0.0018463,              0.0025,            0.004753,            0.004753,            0.004753
                  55,            0.012912,           0.0052071,            0.010052,              0.9336,             0.94438,              0.9781,             0.88325,            0.006416,           0.0018421,           0.0024714,            0.004654,            0.004654,            0.004654
                  56,            0.012847,           0.0051363,            0.010187,               0.935,             0.94331,              0.9784,             0.88437,           0.0063906,            0.001836,             0.00245,            0.004555,            0.004555,            0.004555
                  57,            0.012893,           0.0051622,            0.010043,             0.93444,             0.94523,             0.97877,              0.8852,           0.0063717,           0.0018311,           0.0024282,            0.004456,            0.004456,            0.004456
                  58,            0.012746,            0.005151,            0.010021,             0.93688,             0.94508,             0.97901,             0.88662,           0.0063468,           0.0018259,           0.0024027,            0.004357,            0.004357,            0.004357
                  59,            0.012648,           0.0050999,            0.010134,             0.93923,             0.94479,             0.97945,             0.88749,           0.0063186,           0.0018187,           0.0023693,            0.004258,            0.004258,            0.004258
                  60,            0.012674,           0.0051166,            0.010027,             0.93898,             0.94447,             0.97982,             0.88818,           0.0063019,           0.0018124,           0.0023424,            0.004159,            0.004159,            0.004159
                  61,            0.012393,           0.0050562,           0.0099236,             0.93921,             0.94511,             0.98022,             0.88884,           0.0062804,           0.0018056,           0.0023151,             0.00406,             0.00406,             0.00406
                  62,             0.01246,           0.0050486,           0.0096882,             0.93934,             0.94478,              0.9805,             0.89023,           0.0062522,            0.001798,           0.0022918,            0.003961,            0.003961,            0.003961
                  63,            0.012472,           0.0050219,           0.0097427,             0.94026,             0.94652,              0.9808,             0.89115,            0.006223,           0.0017891,           0.0022737,            0.003862,            0.003862,            0.003862
                  64,            0.012188,           0.0050153,           0.0097142,             0.93957,             0.94786,             0.98094,             0.89205,           0.0061971,           0.0017813,           0.0022531,            0.003763,            0.003763,            0.003763
                  65,            0.012113,           0.0049952,           0.0096338,             0.93955,             0.94905,             0.98119,             0.89326,           0.0061732,           0.0017733,           0.0022393,            0.003664,            0.003664,            0.003664
                  66,            0.012182,           0.0049522,           0.0096419,             0.93825,             0.95003,             0.98135,             0.89393,           0.0061489,           0.0017661,           0.0022298,            0.003565,            0.003565,            0.003565
                  67,             0.01213,           0.0049378,              0.0096,             0.93915,             0.94989,             0.98139,             0.89479,           0.0061242,           0.0017598,           0.0022172,            0.003466,            0.003466,            0.003466
                  68,            0.012049,           0.0049163,           0.0094455,             0.93813,             0.95146,             0.98155,             0.89538,           0.0061002,           0.0017526,           0.0022042,            0.003367,            0.003367,            0.003367
                  69,             0.01184,           0.0048774,           0.0093072,             0.93727,             0.95317,             0.98166,              0.8961,           0.0060826,            0.001747,           0.0021954,            0.003268,            0.003268,            0.003268
                  70,             0.01169,           0.0048875,           0.0091598,             0.93781,             0.95375,             0.98186,             0.89652,           0.0060625,           0.0017408,           0.0021781,            0.003169,            0.003169,            0.003169
                  71,            0.011784,           0.0048546,           0.0091947,             0.93828,             0.95358,             0.98203,             0.89751,           0.0060384,           0.0017363,           0.0021572,             0.00307,             0.00307,             0.00307
